provincia,UNION POR LA PATRIA,LA LIBERTAD AVANZA,JUNTOS POR EL CAMBIO,HACEMOS POR NUESTRO PAIS,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
Total Nacional, 36.7, 30.0, 23.8, 6.8, 2.7
Buenos Aires,42.87,25.71,24.09,3.72,3.58
Catamarca,42.79,32.03,17.16,6.42,1.57
Chaco,43.69,27.76,24.13,3.62,0.77
Chubut,32.26,35.01,20.58,7.73,4.4
Ciudad Autónoma de Buenos Aires,32.27,19.84,41.22,3.09,3.55
Corrientes,37.2,26.88,32.12,2.73,1.04
Córdoba,13.42,33.54,22.62,29.01,1.38
Entre Ríos,33.25,29.74,30.09,5.37,1.53
Formosa,52.32,29.04,15.39,2.45,0.77
Jujuy,32.31,37.38,19.94,6.81,3.54
La Pampa,34.79,33.53,21.92,7.44,2.3
La Rioja,41.1,37.65,11.8,8.51,0.92
Mendoza,23.98,42.35,25.85,4.32,3.48
Misiones,37.91,42.12,14.44,4.13,1.38
Neuquén,31.77,36.71,20.53,5.95,5.01
Río Negro,37.85,33.72,18.13,6.26,4.02
Salta,37.61,40.4,13.94,6.27,1.76
San Juan,33.23,35.1,23.22,6.17,2.25
San Luis,27.19,43.37,20.96,6.28,2.18
Santa Cruz,37.87,36.29,16.35,6.58,2.88
Santa Fe,29.68,32.47,26.89,9.04,1.9
Santiago del Estero,65.5,22.98,8.09,2.16,1.26
"Tierra del Fuego",38.2,33.82,14.95,9.15,3.85
Tucumán,44.97,34.93,14.61,4.01,1.44
